maize_crop_yield,VAR,WMG,SWD,REP,ND2SE,SC8,SC9,SC10,WD3WAS,WD6WAS,WD9WAS,WDW3WAS,WDW6WAS,WDW9WAS,PLTHT3,PLTH6,PLTH9,LA3,LA6,LA9,LAI3,LAI6,LAI9,50%TASSEL,50%SILK,CobL,CobD,Nokelrwcob,NoGrnRow,NoGperCob,CobWgt,1000GWgt,GY
1,1,4,1,3,71,1,1,2,18,23,10,0.26,15.28,0.76,42.8,119.5,171,74.4,440.2,665.9,0.0198,0.1174,0.1776,57,61,18,4.2,14,40,590,5000,205,4333.33
1,1,4,2,1,48,10,23,47,43,126,15,0.97,9,2.11,47.1,113.4,158.5,56.6,305.1,467.4,0.0151,0.0814,0.1246,54,59,15.9,4.2,13,34,440,5333.33,251.6,4916.67
1,1,4,2,2,40,4,9,12,20,56,20,0.94,2.08,2.6,40.7,98.4,158.5,54.5,254.1,474.5,0.0145,0.0678,0.1265,56,62,15.8,4,13,32,423,3333.33,214.5,2333.33
1,1,4,2,3,50,6,10,19,39,56,12,1.31,14.3,1.12,47.5,133.9,170,57.1,382.9,530,0.0152,0.1021,0.1222,55,63,17,4.7,15,38,581,7810,302.5,5333.33
1,1,4,3,1,53,1,1,2,34,56,10,2.8,3.88,0.82,47.5,106.5,164.7,62.4,283.9,485.9,0.0166,0.0757,0.1296,54,57,14.5,3.6,11,27,297,2666.67,180,1500
1,1,4,3,2,50,1,1,1,38,42,17,0.49,2.3,2.62,32.7,109.2,164.7,41.8,244.5,485.3,0.0111,0.0652,0.1294,54,57,15.5,3.9,12,29,348,2400,177,1333.33
1,1,4,3,3,50,1,1,2,26,67,10,0.57,10.16,1.86,37.7,108.4,188.6,26.3,453.6,588.7,0.007,0.121,0.157,54,58,16.5,4.1,13,31,403,2000,170,1666.67
1,2,1,1,1,37,10,23,34,24,52,100,3.84,41.4,151.7,41,108.3,144.3,60.9,300,568.8,0.0162,0.08,0.1517,59,63,15,3.9,13,31,407,3135.2,234,2654.92
1,2,1,1,2,40,8,28,34,86,126,164,138.35,186.43,200.5,45,114.9,172.2,125.8,272.2,526.6,0.0053,0.0326,0.1114,59,62,15.2,4.1,15,29,435,1768.43,168.5,1248.45
1,2,1,1,3,35,6,13,17,35,66,116,35.79,95.92,163.2,51.1,129.3,168,40.6,319,468,0.0204,0.0852,0.0951,58,63,17,3.7,11,37,413,3745.78,297,2715.82
1,2,1,2,1,48,18,31,61,47,51,64,1.23,40.95,89.98,44.3,112.3,182.5,63.5,222.1,393.6,0.0169,0.0592,0.105,60,64,13,3.7,14,24,334,2266.67,196,1500
1,2,1,2,2,48,13,21,37,72,150,182,18.15,141.82,173.4,55.2,138.9,229.4,77.2,264.4,519.4,0.0206,0.0705,0.1385,60,65,15.3,3.8,13,29,388,4166.67,250.5,2833.33
1,2,1,2,3,48,15,26,49,85,110,140,131.82,146.3,160,42.5,90.4,176.5,59.5,277.3,525.2,0.0159,0.0739,0.1401,57,65,14.2,3.7,14,27,349,2633.33,183,2166.67
1,2,1,3,1,41,91,133,156,28,47,128,16.2,29.2,105.6,42.2,115.1,163.5,56.2,344.1,437.9,0.015,0.0918,0.1168,56,61,9.8,3.1,12,25,300,1666.67,158,760
1,2,1,3,2,40,80,133,160,41,72,120,14.8,11.6,95.6,42.6,129.9,180,63,332.5,465.5,0.0168,0.0887,0.1241,56,60,10,3.3,13,27,351,1911.17,176,1136.7
1,2,1,3,3,45,15,54,104,107,161,170,15.39,81.53,120,48.8,131.3,191,57.1,322.2,423,0.0152,0.0765,0.1231,54,60,11,3.5,14,29,406,2000,160,996.7
1,2,2,1,1,55,30,41,49,29,39,40,0.35,15.6,21.5,56.2,142.6,208.5,101,375.9,663.4,0.0269,0.1002,0.1769,54,58,19.3,4.8,16,39,625,6499.03,286,4936.48
1,2,2,1,2,45,1,6,25,42,48,54,14.23,45.86,85.1,47.2,119.8,173.3,169.7,328,525.9,0.0453,0.0875,0.1402,55,60,17.8,4.5,15,48,535,5487.8,277,4028.9
